127.0.0.1, 2012-10-12 11:01:02, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2012-10-12 11:01:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.883000
127.0.0.1, 2012-10-12 11:01:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:01:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:01:03, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:01:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:01:03, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:01:03, GET, /welcome/static/css/web2py_bootstrap_nojs.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-10-12 11:01:12, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-10-12 11:01:18, GET, /admin, HTTP/1.1, 200, 0.208000
127.0.0.1, 2012-10-12 11:01:18, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:01:18, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001000
/1.1, 200, 0.000000
127.0.0.1, 2012-10-12 11:01:18, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.002000
000
127.0.0.1, 2012-10-12 11:01:18, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.003000
127.0.0.1, 2012-10-12 11:01:18, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-10-12 11:01:18, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:01:18, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-10-12 11:01:18, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2012-10-12 11:01:18, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2012-10-12 11:01:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2012-10-12 11:01:25, POST, /admin/default/index, HTTP/1.1, 303, 0.127000
127.0.0.1, 2012-10-12 11:01:25, GET, /admin/default/site, HTTP/1.1, 200, 0.065000
127.0.0.1, 2012-10-12 11:01:25, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-10-12 11:01:25, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:01:25, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2012-10-12 11:01:25, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2012-10-12 11:01:25, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.003000
127.0.0.1, 2012-10-12 11:02:54, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.064000
127.0.0.1, 2012-10-12 11:02:54, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.072000
127.0.0.1, 2012-10-12 11:02:54, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.068000
127.0.0.1, 2012-10-12 11:02:54, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2012-10-12 11:02:54, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2012-10-12 11:02:55, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.492000
127.0.0.1, 2012-10-12 11:02:55, POST, /admin/default/check_version, HTTP/1.1, 200, 0.849000
127.0.0.1, 2012-10-12 11:03:26, POST, /admin/default/site, HTTP/1.1, 303, 0.194000
127.0.0.1, 2012-10-12 11:03:26, GET, /admin/default/design/A_F_Report_Tool, HTTP/1.1, 200, 0.180000
127.0.0.1, 2012-10-12 11:03:26, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:03:26, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:03:26, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:03:26, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:03:27, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:03:54, GET, /A_F_Report_Tool/appadmin/index, HTTP/1.1, 200, 0.149000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/js/web2py.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/js/calendar.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/js/share.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/images/google-buzz.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:03:55, GET, /A_F_Report_Tool/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:04:28, GET, /admin/default/design/A_F_Report_Tool, HTTP/1.1, 200, 0.143000
127.0.0.1, 2012-10-12 11:16:18, GET, /admin/default/site, HTTP/1.1, 200, 0.067000
127.0.0.1, 2012-10-12 11:16:19, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.493000
127.0.0.1, 2012-10-12 11:16:26, GET, /admin/default/uninstall/A_F_Report_Tool, HTTP/1.1, 200, 0.088000
127.0.0.1, 2012-10-12 11:16:29, POST, /admin/default/uninstall/A_F_Report_Tool, HTTP/1.1, 303, 0.104000
127.0.0.1, 2012-10-12 11:16:29, GET, /admin/default/site, HTTP/1.1, 200, 0.063000
127.0.0.1, 2012-10-12 11:16:30, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.449000
127.0.0.1, 2012-10-12 11:16:59, POST, /admin/default/site, HTTP/1.1, 303, 0.183000
127.0.0.1, 2012-10-12 11:17:00, GET, /admin/default/design/home, HTTP/1.1, 200, 0.179000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/appadmin/index, HTTP/1.1, 200, 0.141000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/js/jquery.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/js/web2py.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/images/favicon.ico, HTTP/1.1, 200, 0.023000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/js/share.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/css/web2py.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.023000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:17:05, GET, /home/static/images/google-buzz.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-10-12 11:17:12, GET, /home/appadmin/index, HTTP/1.1, 200, 0.111000
127.0.0.1, 2012-10-12 11:17:12, GET, /home/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2012-10-12 11:17:18, GET, /admin/default/design/home, HTTP/1.1, 200, 0.108000
127.0.0.1, 2012-10-12 11:17:47, POST, /admin/default/create_file, HTTP/1.1, 303, 0.136000
127.0.0.1, 2012-10-12 11:17:47, GET, /admin/default/edit/home/models/home_db.py, HTTP/1.1, 200, 0.092000
127.0.0.1, 2012-10-12 11:17:48, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-10-12 11:17:48, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:17:48, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2012-10-12 11:17:48, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-10-12 11:17:48, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2012-10-12 11:17:48, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2012-10-12 11:17:48, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2012-10-12 11:17:50, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:17:50, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2012-10-12 11:17:58, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2012-10-12 11:17:58, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2012-10-12 11:17:58, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2012-10-12 11:38:18, POST, /admin/default/edit/home/models/home_db.py, HTTP/1.1, 200, 0.087000
127.0.0.1, 2012-10-12 11:38:37, GET, /admin/default/design/home, HTTP/1.1, 200, 0.103000
127.0.0.1, 2012-10-12 11:39:00, GET, /admin/shell/index/home, HTTP/1.1, 200, 0.111000
127.0.0.1, 2012-10-12 11:39:00, GET, /admin/static/js/autoscroll.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2012-10-12 11:39:14, POST, /admin/shell/callback/home, HTTP/1.1, 500, 0.378000
127.0.0.1, 2012-10-12 11:39:26, POST, /admin/shell/callback/home, HTTP/1.1, 500, 0.143000
127.0.0.1, 2012-10-12 11:39:49, GET, /admin/default/site, HTTP/1.1, 200, 0.118000
127.0.0.1, 2012-10-12 11:39:50, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.485000
127.0.0.1, 2012-10-12 11:39:54, GET, /admin/default/design/home, HTTP/1.1, 200, 0.100000
127.0.0.1, 2012-10-12 11:40:34, GET, /admin/default/site, HTTP/1.1, 200, 0.116000
127.0.0.1, 2012-10-12 11:40:35, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.510000
127.0.0.1, 2012-10-12 11:40:45, GET, /admin/default/about/home, HTTP/1.1, 200, 0.118000
127.0.0.1, 2012-10-12 11:40:45, GET, /admin/static/images/embossed.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-10-12 11:40:45, GET, /admin/static/js/jquery.flot.js, HTTP/1.1, 200, 0.114000
127.0.0.1, 2012-10-12 11:40:59, GET, /admin/default/site, HTTP/1.1, 200, 0.127000
127.0.0.1, 2012-10-12 11:41:00, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.482000
127.0.0.1, 2012-10-12 11:41:13, GET, /admin/default/design/home, HTTP/1.1, 200, 0.112000
127.0.0.1, 2012-10-12 11:41:28, GET, /home/default/index, HTTP/1.1, 500, 0.112000
127.0.0.1, 2012-10-12 11:41:34, GET, /admin/default/ticket/home/127.0.0.1.2012-10-12.11-41-28.b9420e1b-02b2-463c-987c-508a8cadd246, HTTP/1.1, 200, 0.182000
127.0.0.1, 2012-10-12 11:41:34, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-10-12 11:42:12, GET, /admin/default/peek/home/controllers/appadmin.py, HTTP/1.1, 200, 0.106000
127.0.0.1, 2012-10-12 11:42:55, GET, /home/appadmin/index, HTTP/1.1, 500, 0.068000
127.0.0.1, 2012-10-12 11:42:59, GET, /admin/default/edit/home/cron/crontab, HTTP/1.1, 200, 0.063000
127.0.0.1, 2012-10-12 11:43:09, GET, /admin/default/ticket/home/127.0.0.1.2012-10-12.11-42-55.7860794e-b6ac-4b20-806e-6113de918c78, HTTP/1.1, 200, 0.123000
127.0.0.1, 2012-10-12 11:44:35, GET, /admin/default/edit/home/controllers/default.py, HTTP/1.1, 200, 0.100000
127.0.0.1, 2012-10-12 11:48:27, GET, /home/default/index, HTTP/1.1, 500, 0.119000
127.0.0.1, 2012-10-12 11:48:35, GET, /admin/default/ticket/home/127.0.0.1.2012-10-12.11-48-27.43f44d0d-8850-4681-9e30-eaf0869811ac, HTTP/1.1, 200, 0.155000
127.0.0.1, 2012-10-12 11:53:35, GET, /admin/default/design/home, HTTP/1.1, 200, 0.104000
127.0.0.1, 2012-10-12 11:53:39, GET, /admin/default/edit/home/models/home_db.py, HTTP/1.1, 200, 0.056000
127.0.0.1, 2012-10-12 11:53:57, GET, /admin/default/site, HTTP/1.1, 200, 0.110000
127.0.0.1, 2012-10-12 11:53:58, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.541000
127.0.0.1, 2012-10-12 11:54:00, GET, /admin/default/design/home, HTTP/1.1, 200, 0.147000
127.0.0.1, 2012-10-12 11:54:03, GET, /admin/default/edit/home/models/db.py, HTTP/1.1, 200, 0.103000
127.0.0.1, 2012-10-12 11:54:31, GET, /admin/default/design/home, HTTP/1.1, 200, 0.135000
